topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,1,0.7028043535020616,-27.78369140625,-41.76953125,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,1,0.5948707262674967,-29.7056884765625,-53.5078125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,1,0.7028043535020616,-24.708984375,-42.806884765625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,1,0.5948707262674967,-36.4140625,-39.39453125,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.6633466084798177,-47.75641632080078,-67.02630615234375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,1,0.61426756117079,-52.61299133300781,-64.691162109375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.6633466084798177,-31.72021484375,-44.478515625,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,1,0.61426756117079,-22.3798828125,-50.16796875,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.6633466084798177,-31.8671875,-49.109375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,1,0.61426756117079,-64.2109375,-78.009765625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.6633466084798177,-25.12176513671875,-31.065185546875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,1,0.61426756117079,-41.2333984375,-69.0927734375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,1,0.8165270487467448,-33.520751953125,-33.0703125,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,1,0.6011160744561089,-77.577392578125,-81.511962890625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,1,0.8165270487467448,-45.7166748046875,-86.586181640625,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,1,0.6011160744561089,-37.88755798339844,-64.14453125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,1,0.8165270487467448,-31.6552734375,-56.44921875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,1,0.6011160744561089,-46.76171875,-65.197265625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,1,0.8165270487467448,-28.3876953125,-42.38671875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,1,0.6011160744561089,-29.0977783203125,-61.4765625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,2.2705281575520835,-23.562744140625,-45.92138671875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,2,1.7413207160101996,-38.74609375,-42.1875,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,2.2705281575520835,-49.960853576660156,-71.76253509521484,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,2,1.7413207160101996,-50.8145751953125,-71.618408203125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,2.2705281575520835,-29.9375,-42.458984375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,2,1.7413207160101996,-22.240234375,-50.3828125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,2.2705281575520835,-31.099609375,-47.5078125,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,2,1.7413207160101996,-59.66796875,-76.203125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,2,1.7825090620252821,-24.268402099609375,-31.19329833984375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,2,1.6547929445902507,-39.9287109375,-66.509765625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,2,1.7825090620252821,-33.55859375,-33.105224609375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,2,1.6547929445902507,-70.2669677734375,-74.77459716796875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,2,1.7825090620252821,-45.673377990722656,-77.01715087890625,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,2,1.6547929445902507,-37.91105651855469,-71.4765625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,2,1.7825090620252821,-30.9423828125,-56.23046875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,2,1.6547929445902507,-47.8662109375,-60.4208984375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,2,1.4139287736680772,-28.861328125,-41.76953125,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,2,1.4824672275119357,-27.806396484375,-53.5078125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,4,1,2,1.4139287736680772,-23.4288330078125,-42.806884765625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,4,1,2,1.4824672275119357,-38.71484375,-39.39453125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,6,1,2,1.4139287736680772,-49.77641296386719,-67.02630615234375,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,6,1,2,1.4824672275119357,-51.28211975097656,-64.691162109375,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,8,1,2,1.4139287736680772,-31.302734375,-44.478515625,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,8,1,2,1.4824672275119357,-22.2958984375,-50.16796875,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,2,1,2,1.7064926889207628,-31.71484375,-49.109375,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,2,1,2,2.028091695573595,-60.546875,-78.009765625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,4,1,2,1.7064926889207628,-25.1160888671875,-31.065185546875,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,4,1,2,2.028091695573595,-39.873046875,-69.0927734375,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,2,1.7064926889207628,-33.520751953125,-33.0703125,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,2,2.028091695573595,-77.577392578125,-81.511962890625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,2,1.7064926889207628,-45.7166748046875,-86.586181640625,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,2,2.028091695573595,-37.88755798339844,-64.14453125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,2,1.9733887778388128,-31.6552734375,-56.44921875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,2,1.6488305462731256,-46.76171875,-65.197265625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,2,1.9733887778388128,-28.3876953125,-42.38671875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,2,1.6488305462731256,-28.895751953125,-61.4765625,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,2,1.9733887778388128,-22.815185546875,-45.92138671875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,2,1.6488305462731256,-39.357421875,-42.1875,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,2,1.9733887778388128,-28.991886138916016,-71.76253509521484,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,2,1.6488305462731256,-48.86577224731445,-71.618408203125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,3,1.9703445434570312,-29.900390625,-42.458984375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,3,2.564467748006185,-23.30419921875,-50.3828125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,3,2.1880811055501304,-31.869140625,-47.5078125,naive
