scene number,Start Time (s) ,End Time (s) ,"Start Time (TRs, 1.5s)","End Time (TRs, 1.5s)",scene number - concatenated,Start Time (s)  - concatenated,End Time (s)  - concatenated,"Start Time (TRs, 1.5s) - concatenated","End Time (TRs, 1.5s) - concatenated",Start Time (m.ss),scene title,Space-In/Outdoor or unknown,scene start time,scene end time,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online
92,1260,1274,841,850,92,1260,1274,841,850,21,patrick tells sarah/keith goes down,Indoor,21:00,21:14,7,7,6,8,10,9,10,5
93,1275,1286,851,858,93,1275,1286,851,858,21.15,doors open/they were kissing,Indoor,21:15,21:26,5,10,8,9,9,9,8,7
94,1287,1306,859,872,94,1287,1306,859,872,21.27,patrick gets in elevator,Indoor,21:27,21:46,4,6,4,6,7,6,9,5
95,1307,1322,872,882,95,1307,1322,872,882,21.47,patrick insults keith,Indoor,21:47,22:02,5,9,4,6,10,7,9,7
96,1323,1344,883,897,96,1323,1344,883,897,22.03,elevator fight,Indoor,22:03,22:24,6,10,8,10,10,8,10,9
97,1345,1355,898,904,97,1345,1355,898,904,22.25,ruth goes up stairs,Indoor,22:25,22:35,7,5,7,5,9,9,10,6
98,1356,1367,905,912,98,1356,1367,905,912,22.36,keith taking the body down the stairs,Indoor,22:36,22:47,7,5,8,7,10,8,9,8
99,1368,1392,913,929,99,1368,1392,913,929,22.48,they meet/ruth passes out,Indoor,22:48,23:12,8,5,6,10,10,8,9,9
100,1393,1402,930,936,100,1393,1402,930,936,23.13,sarah misses patrick,Indoor,23:13,23:22,4,5,5,7,9,8,10,6
101,1403,1413,936,943,101,1403,1413,936,943,23.23,keith decides to go down ladder,Indoor,23:23,23:33,2,2,5,8,8,8,9,6
102,1414,1419,944,947,102,1414,1419,944,947,23.34,employee scene,Indoor,23:34,23:39,1,1,4,2,2,7,9,5
103,1420,1436,948,958,103,1420,1436,948,958,23.4,sarah sees keith w body,Indoor,23:40,23:56,3,7,7,9,9,7,5,5
104,1437,1449,959,967,104,1437,1449,959,967,23.57,sarah faints,Indoor,23:57,24:09:00,5,7,6,10,9,7,7,6
105,1450,1472,968,982,105,1450,1472,968,982,24.1,keith drops body/thinks,Indoor,24:10:00,24:32:00,6,6,8,10,10,8,10,5
106,1473,1492,983,996,106,1473,1492,983,996,24.33,keith sees barry,Indoor,24:33:00,24:52:00,6,6,6,9,10,7,9,7
1,0,33,1,23,107,1493,1526,997,1019,0,Let's All Go To The Lobby,Indoor,0:00,0:33,NA,NA,NA,NA,NA,NA,NA,NA
2,34,40,24,28,108,1527,1533,1020,1024,0.34,Countdown,Indoor,0:34,0:40,NA,NA,NA,NA,NA,NA,NA,NA
3,41,44,28,30,109,1534,1537,1024,1026,0.41,THE ROCK title,Outdoor,0:41,0:44,2,6,1,NA,NA,NA,NA,NA
4,45,50,31,34,110,1538,1543,1027,1030,0.45,underwater ocean scene,Outdoor,0:45,0:50,2,1,3,2,1,5,1,1
5,51,65,35,44,111,1544,1558,1031,1040,0.51,above ground/big happy mtn,Outdoor,0:51,1:05,7,6,4,2,4,4,4,2
6,66,75,45,51,112,1559,1568,1041,1047,1.06,mtn sleep/dream,Indoor,1:06,1:15,7,6,4,2,2,8,7,2
7,76,85,52,58,113,1569,1578,1048,1054,1.16,"seasons pass, becomes boulder",Indoor,1:16,1:25,7,10,5,7,7,9,7,3
8,86,103,58,70,114,1579,1596,1054,1066,1.26,boulder wakes to tree chopping/builders,Outdoor,1:26,1:43,7,7,5,8,6,9,9,3
9,104,117,70,79,115,1597,1610,1066,1075,1.44,boulder gets up and goes to woods,Outdoor,1:44,1:57,7,6,4,7,8,8,8,3
10,118,139,80,94,116,1611,1632,1076,1090,1.58,boulder gets hauled and turned into wheel in waterwheel house,Indoor,1:58,2:19,7,8,7,7,9,8,9,5
11,140,146,94,98,117,1633,1639,1090,1094,2.2,wheel is taken by soldiers and smashed,Indoor,2:20,2:26,7,6,5,6,9,8,7,6
12,147,156,99,105,118,1640,1649,1095,1101,2.27,wheel is turned into cannonball,Indoor,2:27,2:36,7,9,7,8,7,8,9,8
13,157,168,106,113,119,1650,1661,1102,1109,2.37,war scene,Indoor,2:37,2:48,7,4,5,5,7,8,6,7
14,169,179,114,120,120,1662,1672,1110,1116,2.49,broken ball falls underwater,Indoor,2:49,2:59,7,5,5,8,6,7,9,7
15,180,183,121,123,121,1673,1676,1117,1119,3,becomes small rock in a stream,Outdoor,3:00,3:03,7,9,4,8,4,7,8,5
16,184,198,124,133,122,1677,1691,1120,1129,3.04,"small rock wanders, rests under tree",Indoor,3:04,3:18,7,6,4,6,3,8,7,6
17,199,210,134,141,123,1692,1703,1130,1137,3.19,"rock picked up by scientist, is fossil",Indoor,3:19,3:30,7,9,7,7,8,9,10,7
18,211,224,142,150,124,1704,1717,1138,1146,3.31,fossil is in science museum,Outdoor,3:31,3:44,7,4,4,8,7,8,7,7
19,225,234,151,157,125,1718,1727,1147,1153,3.45,fossil is knocked out of display into trash,Indoor,3:45,3:54,7,6,5,7,9,8,9,6
20,235,241,158,162,126,1728,1734,1154,1158,3.55,fossil ends up in street ,Indoor,3:55,4:01,7,5,5,8,7,6,5,5
21,242,245,162,164,127,1735,1738,1158,1160,4.02,"fossil thrown through window, out window",Indoor,4:02,4:05,7,5,5,6,6,8,5,6
22,246,262,165,176,128,1739,1755,1161,1172,4.06,fossil battered in street,Indoor,4:06,4:22,7,7,5,8,6,8,6,5
23,263,269,176,180,129,1756,1762,1172,1176,4.23,fossil crushed into tiny speck of dust,Indoor,4:23,4:29,7,9,7,8,7,8,8,5
24,270,289,181,194,130,1763,1782,1177,1190,4.3,"sand swept into trash pile, is sad",Outdoor,4:30,4:49,7,8,7,7,5,8,9,4
25,290,300,194,201,131,1783,1793,1190,1197,4.5,sand excavated,Outdoor,4:50,5:00,7,7,6,6,6,9,10,4
26,301,307,202,206,132,1794,1800,1198,1202,5.01,sand poured into molt,Outdoor,5:01,5:07,7,8,6,5,9,9,10,5
27,308,315,206,211,133,1801,1808,1202,1207,5.08,sand becomes lens/mirror,Outdoor,5:08,5:15,7,9,7,8,10,8,9,6
28,316,329,212,220,134,1809,1822,1208,1216,5.16,"lens put in space shuttle, goes to space",Outdoor,5:16,5:29,7,9,6,8,9,9,9,7
29,330,346,221,232,135,1823,1839,1217,1228,5.3,"lens shoots through space, lands on planet",Indoor,5:30,5:46,7,9,6,8,9,9,10,4
30,347,369,232,247,136,1840,1862,1228,1243,5.47,"planet erupts, grows a new sleepy mountain",Indoor,5:47,6:09,9,10,10,10,9,10,10,7
31,370,374,248,250,137,1863,1867,1244,1246,6.1,THE PRISONER title,Indoor,6:10,6:14,10,5,4,NA,NA,NA,NA,NA
32,375,387,251,259,138,1868,1880,1247,1255,6.15,"man asks maid where he is, can't get answer",Outdoor,6:15,6:27,5,6,5,5,3,8,5,2
33,388,395,260,264,139,1881,1888,1256,1260,6.28,"man asks for police station, told are none",Outdoor,6:28,6:35,5,5,6,4,4,8,6,2
34,396,410,265,274,140,1889,1903,1261,1270,6.36,man goes looking for phone,Indoor,6:36,6:50,3,2,4,3,4,8,7,1
35,411,430,275,288,141,1904,1923,1271,1284,6.51,man tries to use telephone,Outdoor,6:51,7:10,7,10,5,7,8,7,6,3
36,431,450,288,301,142,1924,1943,1284,1297,7.11,"man is lost, looks around",Outdoor,7:11,7:30,2,4,4,3,5,4,3,3
37,451,457,302,306,143,1944,1950,1298,1302,7.31,man goes tolook at a village map,Outdoor,7:31,7:37,4,8,6,5,9,5,5,3
38,458,469,306,314,144,1951,1962,1302,1310,7.38,"woman pulls up in taxi, man asks for nearest town, she says only local",Outdoor,7:38,7:49,5,10,7,6,9,7,8,4
